s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,Wood and articles of wood; wood charcoal,44Percentage,Cork and articles of cork,45Percentage,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46Percentage,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48Percentage,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49Percentage
37,104,4,China,24,90,Bangladesh,,234211066,13247494,5.66%,34442,0.01%,241292,0.10%,83560,0.04%,211043695,90.11%,9560583,4.08%
37,104,4,China,51,5,Belgium,,349384274,193354526,55.34%,336665,0.10%,21600657,6.18%,5926930,1.70%,93921985,26.88%,34243511,9.80%
37,104,4,China,-11,-53,Brazil,,204389896,35496417,17.37%,42487,0.02%,4251653,2.08%,2593407,1.27%,143486454,70.20%,18519478,9.06%
37,104,4,China,61,-98,Canada,,806196423,439462216,54.51%,1077258,0.13%,39465109,4.90%,166083,0.02%,272141526,33.76%,53884231,6.68%
37,104,4,China,-38,-71,Chile,,197910228,64871353,32.78%,39463,0.02%,3315205,1.68%,,0.00%,118121751,59.68%,11562456,5.84%
37,104,4,China,22,114,"China, Hong Kong SAR",,2375608882,278639019,11.73%,269370,0.01%,10677802,0.45%,718046,0.03%,1317141928,55.44%,768162717,32.34%
37,104,4,China,26,30,Egypt,,237974042,99876106,41.97%,,0.00%,268742,0.11%,19721,0.01%,131120267,55.10%,6689206,2.81%
37,104,4,China,46,3,France,,473777331,172836128,36.48%,472282,0.10%,52210574,11.02%,2317042,0.49%,176184823,37.19%,69756482,14.72%
37,104,4,China,51,10,Germany,,841006149,397412051,47.25%,1987387,0.24%,91242266,10.85%,5215899,0.62%,253313698,30.12%,91834848,10.92%
37,104,4,China,23,80,India,,778582049,223587188,28.72%,37681,0.00%,4741449,0.61%,1716384,0.22%,519910926,66.78%,28588421,3.67%
37,104,4,China,-2,117,Indonesia,,382559607,88132279,23.04%,162438,0.04%,625131,0.16%,2482472,0.65%,277090520,72.43%,14066767,3.68%
37,104,4,China,33,54,Iran,,523992031,85067988,16.23%,24173,0.00%,2310111,0.44%,10657158,2.03%,416513138,79.49%,9419463,1.80%
37,104,4,China,33,44,Iraq,,224791657,86812820,38.62%,,0.00%,256947,0.11%,,0.00%,130763763,58.17%,6958127,3.10%
37,104,4,China,31,35,Israel,,281986252,152253140,53.99%,50582,0.02%,18247310,6.47%,,0.00%,102048990,36.19%,9386230,3.33%
37,104,4,China,43,12,Italy,,397546416,138360742,34.80%,652117,0.16%,62531713,15.73%,3261746,0.82%,171721909,43.20%,21018189,5.29%
37,104,4,China,38,138,Japan,,2758694290,1236457638,44.82%,2230265,0.08%,224799689,8.15%,9731267,0.35%,1150692733,41.71%,134782698,4.89%
37,104,4,China,4,110,Malaysia,,951005863,197188035,20.73%,168804,0.02%,24018644,2.53%,348364,0.04%,702543175,73.87%,26738841,2.81%
37,104,4,China,24,-103,Mexico,,372704980,152247131,40.85%,70134,0.02%,27429798,7.36%,1523866,0.41%,175464511,47.08%,15969540,4.28%
37,104,4,China,52,5,Netherlands,,653414850,286493831,43.85%,552997,0.08%,83426150,12.77%,13308338,2.04%,221034706,33.83%,48598828,7.44%
37,104,4,China,10,8,Nigeria,,321473569,110727948,34.44%,60,0.00%,223343,0.07%,376346,0.12%,190441514,59.24%,19704358,6.13%
37,104,4,China,30,69,Pakistan,,298261862,49775137,16.69%,39902,0.01%,504086,0.17%,224380,0.08%,234957203,78.78%,12761154,4.28%
37,104,4,China,12,123,Philippines,,718202406,359774172,50.09%,18379,0.00%,1588202,0.22%,806672,0.11%,337107862,46.94%,18907119,2.63%
37,104,4,China,52,19,Poland,,191506386,56681257,29.60%,239634,0.13%,37203315,19.43%,136419,0.07%,89346956,46.65%,7898805,4.12%
37,104,4,China,36,128,Rep. of Korea,,1083449468,498908229,46.05%,958015,0.09%,35436863,3.27%,19523692,1.80%,497764036,45.94%,30858633,2.85%
37,104,4,China,62,97,Russian Federation,,383127952,132479272,34.58%,555668,0.15%,13094060,3.42%,460536,0.12%,206605642,53.93%,29932774,7.81%
37,104,4,China,24,45,Saudi Arabia,,709405596,261067315,36.80%,121056,0.02%,6361745,0.90%,27108,0.00%,419367555,59.12%,22460817,3.17%
37,104,4,China,1,104,Singapore,,912664838,185828387,20.36%,392556,0.04%,19710975,2.16%,20836,0.00%,677661017,74.25%,29051067,3.18%
37,104,4,China,-29,25,South Africa,,232869081,60124697,25.82%,23544,0.01%,9384142,4.03%,1212127,0.52%,149918642,64.38%,12205929,5.24%
37,104,4,China,40,-4,Spain,,348160127,120423123,34.59%,299103,0.09%,56487562,16.22%,41932,0.01%,136764983,39.28%,34143424,9.81%
37,104,4,China,15,101,Thailand,,590439343,179841218,30.46%,99152,0.02%,18184555,3.08%,13087657,2.22%,365091224,61.83%,14135537,2.39%
37,104,4,China,39,35,Turkey,,391906208,40784968,10.41%,15116,0.00%,8760790,2.24%,319176,0.08%,334702848,85.40%,7323310,1.87%
37,104,4,China,24,54,United Arab Emirates,,692015388,369479054,53.39%,194848,0.03%,13865752,2.00%,151699,0.02%,293984469,42.48%,14339566,2.07%
37,104,4,China,54,-3,United Kingdom,,1764177053,719176804,40.77%,565511,0.03%,103110879,5.84%,3807706,0.22%,572940942,32.48%,364575211,20.67%
37,104,4,China,46,-112,USA,,7851571489,3782111347,48.17%,6890404,0.09%,331996152,4.23%,2103814,0.03%,2574098583,32.78%,1154371189,14.70%
37,104,4,China,17,106,Viet Nam,,1043092900,282128697,27.05%,75829,0.01%,21971678,2.11%,33164,0.00%,700012602,67.11%,38870930,3.73%
64,26,5,Finland,28,3,Algeria,,130074699,104344769,80.22%,,0.00%,,0.00%,2525935,1.94%,23200275,17.84%,3720,0.00%
64,26,5,Finland,-26,134,Australia,,101985873,18347223,17.99%,3217,0.00%,14513,0.01%,3802861,3.73%,79596275,78.05%,221784,0.22%
64,26,5,Finland,48,14,Austria,,74203119,39850760,53.70%,520,0.00%,,0.00%,1062965,1.43%,33188292,44.73%,100582,0.14%
64,26,5,Finland,51,5,Belgium,,645468400,37223903,5.77%,378,0.00%,3642,0.00%,32711950,5.07%,573769080,88.89%,1759447,0.27%
64,26,5,Finland,37,104,China,,923068796,248468616,26.92%,766,0.00%,6,0.00%,600402757,65.04%,73360011,7.95%,836640,0.09%
64,26,5,Finland,56,10,Denmark,,142706448,67610962,47.38%,725,0.00%,34,0.00%,24092,0.02%,67090021,47.01%,7980614,5.59%
64,26,5,Finland,26,30,Egypt,,283310789,208171639,73.48%,,0.00%,,0.00%,30655374,10.82%,44455221,15.69%,28555,0.01%
